PROCEDIMENTO,Código SIGTAP,SIGTAP- Procedimento
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303040262,TRATAMENTO DE POLINEUROPATIAS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303040270,TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303040289,TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303050136,TRATAMENTO CLÍNICO DE INTERCORRÊNCIAS OFTALMOLÓGICAS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303060042,TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303060069,TRATAMENTO DE CHOQUE CARDIOGENICO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303060190,TRATAMENTO DE INFARTO AGUDO DO MIOCÁRDIO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303060212,TRATAMENTO DE INSUFICIENCIA CARDIACA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303060280,TRATAMENTO DE SINDROME CORONARIANA AGUDA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303070072,TRATAMENTO DE DOENCAS DO FIGADO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303100044,TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303140151,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303150025,TRATAMENTO DE DOENCAS GLOMERULARES
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303170140,TRATAMENTO CLÍNICO PARA CONTENÇÃO DE COMPORTAMENTO DESORGANIZADO E/OU DISRUPTIVO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0303180013,TRATAMENTO DE AFECÇÕES ASSOCIADAS AO HIV/AIDS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0304100013,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0305020013,TRATAMENTO DA PIELONEFRITE
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0305020048,TRATAMENTO DE INSUFICIÊNCIA RENAL AGUDA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0305020056,TRATAMENTO DA DOENÇA RENAL CRÔNICA - DRC
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0406010641,
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0406020078,IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL)
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0406030049,ANGIOPLASTIA CORONARIANA PRIMÁRIA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0406040052,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0406040303,TRATAMENTO DE HEMATURIA OU SANGRAMENTO GENITAL POR EMBOLIZAÇÃO (INCLUI ESTUDO ANGIOGRÁFICO E/OU ENDOSCÓPICO)
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0407030255,COLANGIOPANCREATOGRAFIA RETRÓGRADA ENDOSCÓPICA TERAPÊUTICA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0407040161,LAPAROTOMIA EXPLORADORA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0409010170,INSTALAÇÃO ENDOSCÓPICA DE CATETER DUPLO J
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0409010294,NEFROSTOMIA PERCUTÂNEA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0412040166,TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0416010172,RESSECÇÃO ENDOSCÓPICA DE TUMOR VESICAL EM ONCOLOGIA
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0501030069,COLETA E ACONDICIONAMENTO DE MEDULA OSSEA NO BRASIL PARA TRANSPLANTE AUTOGENICO OU DE DOADOR APARENTADO OU NAO APARENTADO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0505010011,TRANSPLANTE ALOGÊNICO DE CÉLULAS-TRONCO HEMATOPOÉTICAS DE MEDULA ÓSSEA - APARENTADO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0505010020,TRANSPLANTE ALOGÊNICO DE CÉLULAS-TRONCO HEMATOPOÉTICAS DE MEDULA ÓSSEA - NÃO APARENTADO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0505010070,TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE MEDULA OSSEA -
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0505010089,TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE SANGUE PERIFERICO -
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0506020053,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE RIM - PÓS TRANSPLANTE CRÍTICO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0506020061,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE CORAÇÃO- PÓS TRANSPLANTE CRÍTICO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - SHILLEY,0506020100,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE ALOGÊNICO DE CÉLULAS-TRONCO HEMATOPOÉTICAS- PÓS TRANSPLANTE CRÍTICO
COLOCAÇÃO DE CATETER VENOSO CENTRAL - TRIPLOLÚMEN,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
COLOCAÇÃO DE CATETER VENOSO CENTRAL - TRIPLOLÚMEN,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
COLOCAÇÃO DE CATETER VENOSO CENTRAL - TRIPLOLÚMEN,0505020092,TRANSPLANTE DE RIM (ORGAO DE DOADOR FALECIDO)
COLOCAÇÃO DE CATETER VENOSO CENTRAL - TRIPLOLÚMEN,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
COLOCAÇÃO PERCUTÂNEA DE FILTRO DE VEIA CAVA,0406040141,COLOCAÇÃO PERCUTÂNEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFÉRICA E EMBOLIA PULMONAR)
COLOCAÇÃO PERCUTÂNEA DE FILTRO DE VEIA CAVA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0304100013,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0406040273,OCLUSÃO PERCUTÂNEA ENDOVASCULAR DE ARTÉRIA / VEIA
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0407030042,COLECISTOSTOMIA
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0407030050,COLEDOCOPLASTIA
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0407030140,HEPATORRAFIA
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
COLOCAÇÃO PERCUTÂNEA DE PRÓTESE BILIAR,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
COLONOSCOPIA,0301160023,REABILITAÇÃO EM FALÊNCIA INTESTINAL EM NÍVEL HOSPITALAR
COLONOSCOPIA,0303010010,TRATAMENTO DE DENGUE CLÁSSICA
COLONOSCOPIA,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
COLONOSCOPIA,0303010061,TRATAMENTO DE DOENÇAS INFECCIOSAS INTESTINAIS
COLONOSCOPIA,0303020032,TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS
COLONOSCOPIA,0303020059,TRATAMENTO DE ANEMIAS NUTRICIONAIS
COLONOSCOPIA,0303020083,TRATAMENTO DE OUTRAS DOENÇAS DO SANGUE E DOS ÓRGÃOS HEMATOPOIÉTICOS
COLONOSCOPIA,0303030038,TRATAMENTO DE DIABETES MELLITUS
COLONOSCOPIA,0303030046,TRATAMENTO DE DISTURBIOS METABOLICOS
COLONOSCOPIA,0303040068,TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLÁSICA
COLONOSCOPIA,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
COLONOSCOPIA,0303040297,TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL
COLONOSCOPIA,0303040300,TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUÊMICO AGUDO COM USO DE TROMBOLÍTICO
COLONOSCOPIA,0303060140,TRATAMENTO DE EMBOLIA PULMONAR
COLONOSCOPIA,0303060158,TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR
COLONOSCOPIA,0303060190,TRATAMENTO DE INFARTO AGUDO DO MIOCÁRDIO
COLONOSCOPIA,0303060212,TRATAMENTO DE INSUFICIENCIA CARDIACA
COLONOSCOPIA,0303060298,TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
COLONOSCOPIA,0303070064,TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO
COLONOSCOPIA,0303070072,TRATAMENTO DE DOENCAS DO FIGADO
COLONOSCOPIA,0303070099,TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS
COLONOSCOPIA,0303070102,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO
COLONOSCOPIA,0303070110,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO
COLONOSCOPIA,0303070129,TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS
COLONOSCOPIA,0303090316,TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS
COLONOSCOPIA,0303140046,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES
COLONOSCOPIA,0303140119,TRATAMENTO DE OUTRAS DOENCAS DA PLEURA
COLONOSCOPIA,0303140151,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)
COLONOSCOPIA,0303150025,TRATAMENTO DE DOENCAS GLOMERULARES
COLONOSCOPIA,0303170140,TRATAMENTO CLÍNICO PARA CONTENÇÃO DE COMPORTAMENTO DESORGANIZADO E/OU DISRUPTIVO
COLONOSCOPIA,0303170182,TRATAMENTO CLÍNICO DOS TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DAS DEMAIS DROGAS E/OU OUTRAS SUBSTÂNCIAS PSICOATIVAS
COLONOSCOPIA,0303180013,TRATAMENTO DE AFECÇÕES ASSOCIADAS AO HIV/AIDS
COLONOSCOPIA,0303180072,TRATAMENTO DE HIV / AIDS
COLONOSCOPIA,0304100013,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO
COLONOSCOPIA,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
COLONOSCOPIA,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
COLONOSCOPIA,0305020013,TRATAMENTO DA PIELONEFRITE
COLONOSCOPIA,0305020056,TRATAMENTO DA DOENÇA RENAL CRÔNICA - DRC
COLONOSCOPIA,0401020100,EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
COLONOSCOPIA,0406010609,IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO
COLONOSCOPIA,0406010692,IMPLANTE DE PRÓTESE VALVAR
COLONOSCOPIA,0406010773,PERICARDIOCENTESE
COLONOSCOPIA,0406020078,IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL)
COLONOSCOPIA,0406020159,EXERESE DE GANGLIO LINFÁTICO
COLONOSCOPIA,0406030022,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS
COLONOSCOPIA,0406030030,
COLONOSCOPIA,0406040141,COLOCAÇÃO PERCUTÂNEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFÉRICA E EMBOLIA PULMONAR)
COLONOSCOPIA,0406040192,EMBOLIZAÇÃO ARTERIAL DE HEMORRAGIA DIGESTIVA (INCLUI PROCEDIMENTO ENDOSCÓPICO E/OU ESTUDO ANGIOGRÁFICO)
COLONOSCOPIA,0407010220,GASTROSTOMIA VIDEOLAPAROSCÓPICA
COLONOSCOPIA,0407020063,COLECTOMIA PARCIAL (HEMICOLECTOMIA)
COLONOSCOPIA,0407020101,COLOSTOMIA
COLONOSCOPIA,0407020225,EXCISÃO DE LESÃO / TUMOR ANU-RETAL
COLONOSCOPIA,0407020276,FISTULECTOMIA / FISTULOTOMIA ANAL
COLONOSCOPIA,0407020284,HEMORROIDECTOMIA
COLONOSCOPIA,0407030034,COLECISTECTOMIA VIDEOLAPAROSCÓPICA
COLONOSCOPIA,0407040242,RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERAÇÃO)
COLONOSCOPIA,0409010170,INSTALAÇÃO ENDOSCÓPICA DE CATETER DUPLO J
COLONOSCOPIA,0412040166,TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA
COLONOSCOPIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
COLONOSCOPIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
COLONOSCOPIA,0416040101,HEPATECTOMIA PARCIAL EM ONCOLOGIA
COLONOSCOPIA,0416040179,ALCOOLIZAÇÃO PERCUTÂNEA DE CARCINOMA HEPÁTICO
COLONOSCOPIA,0416040195,QUIMIOEMBOLIZAÇÃO DE CARCINOMA HEPÁTICO
COLONOSCOPIA,0416050026,COLECTOMIA PARCIAL (HEMICOLECTOMIA) EM ONCOLOGIA
COLONOSCOPIA,0416080081,RECONSTRUÇÃO COM RETALHO MIOCUTÂNEO (QUALQUER PARTE) EM ONCOLOGIA
COLONOSCOPIA,0416110070,RESSECÇAO PULMONAR EM CUNHA EM ONCOLOGIA
COLONOSCOPIA,0505020050,TRANSPLANTE DE FIGADO (ORGAO DE DOADOR FALECIDO)
COLONOSCOPIA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
COLONOSCOPIA,0506020070,TRATAMENTO DE INTERCORRÊNCIA PÓS TRANSPLANTE DE PULMÃO UNI/BILATERAL - PÓS TRANSPLANTE CRÍTICO
COLONOSCOPIA,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
COLONOSCOPIA,0506020100,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE ALOGÊNICO DE CÉLULAS-TRONCO HEMATOPOÉTICAS- PÓS TRANSPLANTE CRÍTICO
COLORRAFIA POR VIA ABDOMINAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
COLOSTOMIA,0301160023,REABILITAÇÃO EM FALÊNCIA INTESTINAL EM NÍVEL HOSPITALAR
COLOSTOMIA,0407020101,COLOSTOMIA
COLOSTOMIA,0407020306,JEJUNOSTOMIA / ILEOSTOMIA
COLOSTOMIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
COLOSTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
COLOSTOMIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
COLOSTOMIA COM VIDEOLAPAROSCOPIA,0407020101,COLOSTOMIA
COLPECTOMIA,0409060291,HISTERECTOMIA C/ ANEXECTOMIA BILATERAL E COLPECTOMIA SOB PROCESSO TRANSEXUALIZADOR
COLPOPERINEOPLASTIA,0409050130,CIRURGIAS COMPLEMENTARES DE REDESIGNAÇÃO SEXUAL
COLPOPERINEOPLASTIA,0409060020,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR C/ AMPUTACAO DE COLO
COLPOPERINEOPLASTIA,0409070033,COLPOCLEISE (CIRURGIA DE LE FORT)
COLPOPERINEOPLASTIA,0409070050,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR
COLPOPERINEOPLASTIA,0409070068,COLPOPERINEOPLASTIA POSTERIOR
COLPOPERINEOPLASTIA,0409070084,COLPOPLASTIA ANTERIOR
COLPOPERINEOPLASTIA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
COLPOPERINEOPLASTIA POSTERIOR,0409070050,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR
COLPORRAFIA,0409070041,COLPOPERINEOCLEISE
COLPORRAFIA,0409070092,COLPORRAFIA NAO OBSTETRICA
CONIZACAO COLO UTERINO,0409060038,EXCISÃO TIPO 3 DO COLO UTERINO
CONIZACAO COLO UTERINO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CONIZACAO COLO UTERINO,0416060013,AMPUTACAO CONICA DO COLO DO UTERO EM ONCOLOGIA
CONSTRUCAO DE VAGINA,0409070114,CONSTRUCAO DE VAGINA
CONSTRUCAO DE VAGINA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORPECTOMIA COM INSTRUMENTAÇÃO,0415020077,PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA
CORRECAO ATRESIA ALVEOLAR COM ENXERTO OSSEO MAXILA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE C/A,0406010536,FECHAMENTO DE COMUNICAÇÃO INTERATRIAL
CORRECAO CIRURGICA DE C/A,0406030154,FECHAMENTO PERCUTÂNEO DE COMUNICAÇÃO INTERATRIAL SEPTAL.
CORRECAO CIRURGICA DE C/A,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE C/V,0406010544,FECHAMENTO DE COMUNICAÇÃO INTERVENTRICULAR
CORRECAO CIRURGICA DE COARCTACAO DA AORTA,0406010188,CORREÇÃO DE COARCTAÇÃO DA AORTA
CORRECAO CIRURGICA DE DISSECCAO AORTICA C/CEC,0406010137,CORREÇÃO DE ANEURISMA / DISSECÇÃO DA AORTA TORACO-ABDOMINAL
CORRECAO CIRURGICA DE DISSECCAO AORTICA C/CEC,0406010986,TROCA DE AORTA ASCENDENTE
CORRECAO CIRURGICA DE DISSECCAO AORTICA C/CEC,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE FISTULA ORO-NASAL,0404020038,CORREÇÃO CIRÚRGICA DE FÍSTULA ORO-NASAL / ORO-SINUSAL
CORRECAO CIRURGICA DE FISTULA URETRAL,0409020109,RESSECÇÃO E FECHAMENTO DE FÍSTULA URETRAL
CORRECAO CIRURGICA DE FISTULA URETRAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE FISTULA VESICO-UTERINA,0409070254,TRATAMENTO CIRURGICO DE FISTULA VESICO-VAGINAL
CORRECAO CIRURGICA DE FISTULA VESICOVAGINAL,0409070254,TRATAMENTO CIRURGICO DE FISTULA VESICO-VAGINAL
CORRECAO CIRURGICA DE FISTULA VESICOVAGINAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE FRATURA VICIOSAMENTE CONSOLID.,0408060174,OSTECTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ
CORRECAO CIRURGICA DE HERNIA DIAFRAGMATICA,0407040048,HERNIOPLASTIA DIAFRAGMÁTICA (VIA ABDOMINAL)
CORRECAO CIRURGICA DE HERNIA DIAFRAGMATICA,0407040056,HERNIOPLASTIA DIAFRAGMÁTICA (VIA TORÁCICA)
CORRECAO CIRURGICA DE HERNIA DIAFRAGMATICA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE HERNIA DIAFRAGMATICA,0506020070,TRATAMENTO DE INTERCORRÊNCIA PÓS TRANSPLANTE DE PULMÃO UNI/BILATERAL - PÓS TRANSPLANTE CRÍTICO
CORRECAO CIRURGICA DE HERNIA VENTRAL,0407040110,HERNIOPLASTIA RECIDIVANTE
CORRECAO CIRURGICA DE HERNIA VENTRAL,0407040129,HERNIOPLASTIA UMBILICAL
CORRECAO CIRURGICA DE HIPERTROFIA DOS PEQUENOS LABIOS,0409070262,TRATAMENTO CIRURGICO DE HIPERTROFIA DOS PEQUENOS LABIOS
CORRECAO CIRURGICA DE HIPERTROFIA DOS PEQUENOS LABIOS,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE HIPOSPADIA,0409020109,RESSECÇÃO E FECHAMENTO DE FÍSTULA URETRAL
CORRECAO CIRURGICA DE HIPOSPADIA,0409050032,CORRECAO DE HIPOSPADIA (1º TEMPO)
CORRECAO CIRURGICA DE HIPOSPADIA,0409050040,CORREÇÃO DE HIPOSPADIA (SEGUNDO TEMPO)
CORRECAO CIRURGICA DE HIPOSPADIA,0409050075,PLASTICA TOTAL DO PENIS
CORRECAO CIRURGICA DE HIPOSPADIA,0409050083,POSTECTOMIA
CORRECAO CIRURGICA DE HIPOSPADIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE HIPOSPADIA-ORTOFAL,0409020133,URETROPLASTIA AUTÓGENA
CORRECAO CIRURGICA DE HIPOSPADIA-ORTOFAL,0409050032,CORRECAO DE HIPOSPADIA (1º TEMPO)
CORRECAO CIRURGICA DE HIPOSPADIA-ORTOFAL,0409050040,CORREÇÃO DE HIPOSPADIA (SEGUNDO TEMPO)
CORRECAO CIRURGICA DE HIPOSPADIA-ORTOFAL,0409050075,PLASTICA TOTAL DO PENIS
CORRECAO CIRURGICA DE INCONTINENCIA URINARIA,0303150050,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO
CORRECAO CIRURGICA DE INCONTINENCIA URINARIA,0409010413,TRATAMENTO CIRÚRGICO DE BEXIGA NEUROGÊNICA
CORRECAO CIRURGICA DE INCONTINENCIA URINARIA,0409010499,TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA VIA ABDOMINAL
CORRECAO CIRURGICA DE INCONTINENCIA URINARIA,0409070270,TRATAMENTO CIRURGICO DE INCONTINÊNCIA URINÁRIA POR VIA VAGINAL
CORRECAO CIRURGICA DE INCONTINENCIA URINARIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
CORRECAO CIRURGICA DE INCONTINENCIA URINARIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE ORTOFALOPLASTIA,0409050075,PLASTICA TOTAL DO PENIS
CORRECAO CIRURGICA DE PLASTICA DE BOLSA ESCROTAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
CORRECAO CIRURGICA DE PROLAPSO DE VAGINA,0409070033,COLPOCLEISE (CIRURGIA DE LE FORT)
CORRECAO CIRURGICA DE PROLAPSO DE VAGINA,0409070041,COLPOPERINEOCLEISE
CORRECAO CIRURGICA DE PROLAPSO DE VAGINA,0409070050,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR
CORRECAO CIRURGICA DE PTOSE PALPEBRAL,0405040202,TRATAMENTO DE PTOSE PALPEBRAL
CORRECAO CIRURGICA DE PTOSE PALPEBRAL,0416080120,EXTIRPAÇÃO MÚLTIPLA DE LESÃO DA PELE OU TECIDO CELULAR SUBCUTÂNEO EM ONCOLOGIA
